[2020-12-29 11:51:19] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:51:20] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f5a34dc2d288b4b6&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:20] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa1307328f5c6f42&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:20] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f763fe4b1fabd6fb&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:20] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f58767bb7fac5c3b&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:27] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609241944952; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:51:36] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609241944952; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:51:36] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:43] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 12:07:56] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 12:08:03] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609241944952; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
